year,party,intervention,type,count
1976,New Democratic Party,4322,oil,144
1977,Progressive Conservative,16764,oil,388
1977,Social Credit,991,oil,41
1978,Progressive Conservative,13109,oil,324
1980,Progressive Conservative,10571,oil,946
1981,Progressive Conservative,15279,oil,1115
1982,Liberal,20631,oil,487
1985,Progressive Conservative,25634,oil,426
1988,Liberal,8938,oil,161
1989,New Democratic Party,4484,oil,199
1990,New Democratic Party,6022,oil,232
1991,Progressive Conservative,13572,oil,205
1994,Reform,5958,oil,123
1997,Liberal,8061,oil,59
1997,Reform,4463,oil,54
1997,New Democratic Party,1166,oil,24
1999,Reform,6223,oil,116
2000,Canadian Alliance,75,oil,6
2000,New Democratic Party,1897,oil,94
2001,New Democratic Party,2157,oil,97
2001,Liberal,11369,oil,192
2001,Canadian Alliance,6220,oil,233
2001,Progressive Conservative,1827,oil,78
2002,Bloc Québécois,3337,oil,111
2002,Canadian Alliance,6377,oil,249
2002,Liberal,11121,oil,193
2002,New Democratic Party,1889,oil,76
2002,Progressive Conservative,1748,oil,47
2003,Liberal,10019,oil,126
2003,Bloc Québécois,2916,oil,140
2004,Liberal,9444,oil,159
2004,Bloc Québécois,2842,oil,113
2005,Liberal,10752,oil,189
2005,Bloc Québécois,3392,oil,176
2005,Conservative,8071,oil,285
2005,New Democratic Party,2195,oil,96
2006,Liberal,7524,oil,120
2006,Bloc Québécois,3093,oil,182
2006,Conservative,10677,oil,191
2006,New Democratic Party,3921,oil,157
2007,Liberal,8717,oil,161
2007,Bloc Québécois,3502,oil,297
2007,New Democratic Party,4841,oil,235
2007,Conservative,12362,oil,178
2008,New Democratic Party,3497,oil,224
2008,Liberal,6953,oil,132
2008,Bloc Québécois,2780,oil,210
2008,Conservative,10054,oil,202
2009,New Democratic Party,6650,oil,213
2009,Liberal,9156,oil,144
2009,Bloc Québécois,4434,oil,315
2009,Conservative,13468,oil,181
2010,New Democratic Party,6075,oil,345
2010,Liberal,8176,oil,224
2010,Conservative,12269,oil,224
2010,Bloc Québécois,3872,oil,262
2011,Conservative,12737,oil,217
2011,New Democratic Party,9010,oil,359
2011,Liberal,5257,oil,106
2012,Liberal,5344,oil,151
2013,Conservative,14842,oil,298
2013,New Democratic Party,11652,oil,500
2014,New Democratic Party,13401,oil,650
2014,Liberal,4914,oil,137
2014,Conservative,16871,oil,354
2015,New Democratic Party,7224,oil,407
2016,Liberal,9467,oil,167
2016,Conservative,6230,oil,278
1991,Liberal,7334,oil,193
1942,National Government,8689,oil,155
1925,United Farmers of Ontario,10,oil,0
1984,New Democratic Party,5591,oil,189
1929,United Farmers of Ontario,3,oil,0
1928,United Farmers of Ontario,1,oil,0
1937,Conservative (1867-1942),6105,oil,90
1992,Liberal,7137,oil,146
1989,Progressive Conservative,13450,oil,196
1945,Bloc populaire canadien,28,oil,2
1988,Independent,14,oil,0
2014,Green,614,oil,39
1939,Liberal,16036,oil,187
1929,Conservative (1867-1942),10222,oil,71
1928,Conservative (1867-1942),10994,oil,103
1911,Independent Conservative,137,oil,0
1967,Social Credit,803,oil,14
1946,Bloc populaire canadien,59,oil,1
1937,Co-operative Commonwealth Federation (C.C.F.),1642,oil,22
1924,Liberal,16197,oil,112
1947,Liberal Progressive,2,oil,0
1959,Liberal Labour,830,oil,9
1947,Independent,247,oil,11
1925,Conservative (1867-1942),12052,oil,80
1988,New Democratic Party,8998,oil,203
1992,Progressive Conservative,13930,oil,127
1989,Liberal,7687,oil,194
1930,Independent Liberal,2,oil,0
2015,Green,386,oil,33
2012,Bloc Québécois,302,oil,7
1936,Conservative (1867-1942),9485,oil,84
1943,Bloc populaire canadien,50,oil,3
1908,Independent Conservative,81,oil,1
1963,Liberal Labour,79,oil,1
1936,Co-operative Commonwealth Federation (C.C.F.),2169,oil,32
1961,New Democratic Party,480,oil,10
1920,Independent,40,oil,1
1949,Social Credit,1382,oil,63
1903,Independent Labour,141,oil,3
1958,Independent,9,oil,0
1905,Independent Conservative,546,oil,4
2003,Progressive Conservative,1541,oil,38
1984,Independent,80,oil,5
1901,Conservative (1867-1942),8850,oil,72
2004,Independent,22,oil,0
1978,Independent,166,oil,0
1911,Independent Liberal,10,oil,0
1915,Liberal,8802,oil,65
1971,Liberal Labour,47,oil,0
1945,Labour Progressive,70,oil,1
1921,Liberal,1187,oil,5
1936,Liberal Progressive,114,oil,3
1920,United Farmers,188,oil,0
1951,Social Credit,1982,oil,77
1936,Independent,270,oil,3
1919,Progressive,194,oil,0
1957,Social Credit,1964,oil,64
1958,Co-operative Commonwealth Federation (C.C.F.),4678,oil,97
1952,Independent Liberal,22,oil,3
2007,Independent,79,oil,3
1968,Liberal Labour,9,oil,0
1965,Liberal Labour,27,oil,0
2016,Green Party,213,oil,7
1920,Conservative (1867-1942),1374,oil,12
1910,Liberal-Conservative,758,oil,7
2015,Independent,256,oil,11
1993,Progressive Conservative,8772,oil,78
1923,Independent Progressive,336,oil,5
1912,Liberal,4892,oil,39
1960,New Party,28,oil,0
1956,Independent Liberal,4,oil,0
1944,Liberal,20404,oil,280
1901,Independent,358,oil,6
1964,Progressive Conservative,19874,oil,205
1969,Independent,4766,oil,7
1936,Reconstruction,419,oil,4
1947,Co-operative Commonwealth Federation (C.C.F.),6101,oil,93
1993,Liberal,4577,oil,76
1955,Independent Liberal,6,oil,0
1964,Liberal,24849,oil,179
1945,Independent C.C.F.,37,oil,1
2014,Independent,179,oil,13
1916,Liberal-Conservative,365,oil,2
1969,New Democratic Party,6830,oil,206
1953,Liberal Labour,89,oil,1
2002,Independent,5,oil,0
1944,Progressive Conservative,2102,oil,23
1946,Independent C.C.F.,93,oil,0
1937,Independent,196,oil,4
1954,Liberal Labour,410,oil,1
1937,Liberal Progressive,162,oil,0
1929,Independent,296,oil,3
1928,Independent,235,oil,11
1929,Liberal Progressive,836,oil,7
1928,Liberal Progressive,517,oil,5
1930,Independent Conservative,2,oil,1
1978,New Democratic Party,3761,oil,173
2004,New Democratic Party,1872,oil,84
1929,Labour,1247,oil,3
1928,Labour,958,oil,13
1997,Independent,66,oil,0
1921,Laurier Liberal,9363,oil,98
1902,Independent Labour,54,oil,3
1909,Independent Conservative,109,oil,1
1995,Reform,6324,oil,98
1979,Independent Liberal,3,oil,0
1937,Reconstruction,159,oil,3
1967,Ralliement Créditiste,1094,oil,21
1950,Independent Liberal,6,oil,2
1925,Labour,989,oil,13
1908,Independent Liberal,23,oil,0
1961,Co-operative Commonwealth Federation (C.C.F.),5073,oil,124
1923,Independent Conservative,199,oil,1
1925,Independent,65,oil,0
1996,Independent,30,oil,1
1956,Liberal,19945,oil,237
1944,Independent Liberal,120,oil,6
1931,Liberal,11996,oil,118
1940,Social Credit,927,oil,28
1919,Unionist (Liberal),1953,oil,17
1985,Liberal,11875,oil,481
1932,Progressive Conservative,16,oil,0
1963,New Democratic Party,4496,oil,57
1961,Liberal Labour,1470,oil,3
1991,Independent Conservative,91,oil,1
1955,Progressive Conservative,9927,oil,153
1942,Co-operative Commonwealth Federation (C.C.F.),2544,oil,67
1999,Bloc Québécois,3332,oil,73
1942,Conservative (1867-1942),883,oil,11
1902,Conservative (1867-1942),7519,oil,149
1979,Progressive Conservative,8493,oil,404
1960,Liberal,17853,oil,111
1952,Liberal,13569,oil,167
1950,Progressive Conservative,9279,oil,191
2001,Bloc Québécois,3397,oil,97
1939,Independent Conservative,20,oil,3
1911,Liberal,11072,oil,110
1924,Independent Conservative,242,oil,5
1977,New Democratic Party,5535,oil,242
1953,Co-operative Commonwealth Federation (C.C.F.),3388,oil,77
1992,Independent Conservative,106,oil,0
1954,Co-operative Commonwealth Federation (C.C.F.),5265,oil,68
1960,Progressive Conservative,27096,oil,260
1979,Liberal,10434,oil,477
1940,United Farmers of Ontario-Labour,5,oil,0
1950,Liberal,13372,oil,191
1908,Liberal,16701,oil,111
1952,Progressive Conservative,8714,oil,138
1968,Co-operative Commonwealth Federation (C.C.F.),97,oil,3
1965,Co-operative Commonwealth Federation (C.C.F.),221,oil,3
2000,Reform,4041,oil,90
1977,Independent,139,oil,2
1964,Independent Liberal,19,oil,0
1944,New Democracy,67,oil,1
1924,Independent Progressive,205,oil,1
1931,Progressive Conservative,15,oil,0
1903,Independent,315,oil,6
1996,New Democratic Party,526,oil,16
1956,Progressive Conservative,13360,oil,208
1905,Liberal,16036,oil,140
2011,Green,222,oil,3
1990,Reform,41,oil,2
1955,Liberal,14703,oil,137
1958,Liberal Labour,832,oil,7
1932,Liberal,11193,oil,116
1963,Co-operative Commonwealth Federation (C.C.F.),176,oil,0
2011,Independent,23,oil,0
1975,Social Credit,1353,oil,66
1938,Social Credit,1480,oil,35
1934,Progressive Conservative,29,oil,0
1974,New Democratic Party,3207,oil,284
1994,Bloc Québécois,5651,oil,113
1971,Independent,6105,oil,7
1915,Independent Conservative,90,oil,1
1903,Conservative (1867-1942),24055,oil,203
1933,Progressive Conservative,10,oil,0
1973,Liberal,19871,oil,563
1929,United Farmers of Alberta,1763,oil,18
1928,United Farmers of Alberta,2009,oil,33
1969,Liberal Labour,50,oil,0
1901,Independent Labour,84,oil,0
1974,No affiliation,1663,oil,5
1925,United Farmers of Alberta,260,oil,2
1912,Independent Conservative,80,oil,0
1998,Independent,152,oil,0
1968,Independent,2036,oil,4
1965,Independent,15,oil,2
1918,Laurier Liberal,5344,oil,60
1942,Unity,31,oil,1
1933,Liberal,11164,oil,70
1953,Independent,116,oil,2
1953,Liberal Progressive,34,oil,0
1917,Liberal-Conservative,413,oil,2
1954,Independent,54,oil,3
2013,Bloc Québécois,281,oil,10
1954,Liberal Progressive,30,oil,0
1941,Social Credit,1072,oil,23
1998,New Democratic Party,2226,oil,44
1968,New Democratic Party,3885,oil,90
1965,New Democratic Party,3279,oil,30
1959,Co-operative Commonwealth Federation (C.C.F.),4200,oil,117
1993,Independent Conservative,55,oil,2
1938,United Farmers of Ontario-Labour,59,oil,0
1918,Liberal,204,oil,2
1923,Liberal,15683,oil,119
1909,Liberal,16237,oil,142
1942,Independent,307,oil,10
1902,Independent,79,oil,3
1942,Liberal Progressive,31,oil,2
1971,New Democratic Party,8053,oil,388
1980,Liberal,15687,oil,728
1934,Liberal,12712,oil,88
1974,Independent,29,oil,1
1948,Social Credit,1300,oil,34
1930,Liberal,9108,oil,46
1938,Independent Liberal,1,oil,0
1903,Liberal-Conservative,2705,oil,24
1939,Social Credit,2744,oil,72
2003,Canadian Alliance,5609,oil,117
1967,Liberal,21772,oil,150
1922,United Farmers of Ontario,35,oil,2
1972,Independent,3230,oil,7
1995,New Democratic Party,718,oil,15
1976,Independent,66,oil,1
1927,United Farmers of Ontario,7,oil,0
1927,Conservative (1867-1942),6117,oil,43
1918,Unionist (Liberal),796,oil,11
1964,Ralliement Créditiste,3895,oil,52
1949,Progressive Conservative,10122,oil,177
1926,United Farmers of Alberta,48,oil,2
1922,Conservative (1867-1942),5507,oil,52
1940,Independent Conservative,69,oil,3
1941,New Democracy,12,oil,1
2012,Conservative,18796,oil,356
1949,Liberal,14968,oil,190
1939,United Farmers of Ontario-Labour,83,oil,2
1924,Progressive,6267,oil,70
1920,Unionist,11024,oil,162
1914,Independent Conservative,164,oil,1
1941,Independent Liberal,17,oil,2
1967,Progressive Conservative,12767,oil,202
1917,Conservative (1867-1942),17658,oil,106
1993,Bloc Québécois,191,oil,1
1913,Liberal,6571,oil,55
1948,Independent Liberal,860,oil,13
1972,New Democratic Party,3730,oil,156
1995,Independent,26,oil,0
1943,National Government,7935,oil,113
1962,Liberal Labour,466,oil,2
1902,Liberal-Conservative,854,oil,14
1992,Bloc Québécois,594,oil,5
1944,Social Credit,1887,oil,21
1919,Laurier Liberal,12775,oil,124
1940,Independent Liberal,17,oil,2
1991,Bloc Québécois,437,oil,7
1982,New Democratic Party,6076,oil,388
1938,Independent Conservative,17,oil,1
1917,Labour,90,oil,2
1951,Liberal,19636,oil,272
1957,Liberal,12217,oil,112
1935,United Farmers of Alberta,1078,oil,17
1982,Independent,86,oil,14
1948,Independent Progressive Conservative,11,oil,0
1904,Liberal,16664,oil,155
1951,Progressive Conservative,12737,oil,168
1957,Progressive Conservative,11605,oil,133
1927,Labour,639,oil,8
1921,United Farmers of Ontario-Labour,18,oil,2
1927,Liberal Progressive,600,oil,2
1927,Independent,292,oil,4
1921,Progressive,568,oil,5
1964,Social Credit,1486,oil,29
1935,Independent Labour,166,oil,1
1941,Independent Conservative,73,oil,1
1919,Liberal,625,oil,4
1922,Labour,285,oil,4
1945,National Government,1072,oil,10
1940,New Democracy,22,oil,1
1922,Independent,25,oil,0
1981,Liberal,20208,oil,603
1970,Liberal Labour,27,oil,0
1972,Liberal Labour,12,oil,0
1951,Independent Liberal,18,oil,2
1957,Independent Liberal,29,oil,1
1910,Conservative (1867-1942),12136,oil,131
1952,Social Credit,1318,oil,67
1947,Bloc populaire canadien,117,oil,1
1946,Independent,116,oil,2
1946,Liberal Progressive,6,oil,0
1967,Independent Progressive Conservative,194,oil,2
1932,Progressive,166,oil,8
1911,Nationalist,3,oil,0
1966,New Democratic Party,6768,oil,94
1945,Independent,96,oil,3
1945,Liberal Progressive,3,oil,0
1983,Progressive Conservative,15306,oil,438
1956,Social Credit,2241,oil,109
1940,Liberal,8948,oil,118
1945,Unity,9,oil,0
1998,Reform,6077,oil,117
1994,Liberal,12627,oil,177
1935,Conservative (1867-1942),12317,oil,106
1987,New Democratic Party,10934,oil,288
1940,Progressive Conservative,15,oil,0
1983,Liberal,21690,oil,258
1943,Unity,44,oil,3
1914,Liberal,15471,oil,130
1987,Independent,5,oil,0
1955,Social Credit,1943,oil,56
1994,Progressive Conservative,104,oil,2
1949,Independent Progressive Conservative,5,oil,0
2013,Liberal,4088,oil,106
1943,Liberal Progressive,55,oil,2
1979,Social Credit,494,oil,26
1943,Independent,282,oil,4
1950,Social Credit,1016,oil,48
1931,Progressive,164,oil,5
1962,Co-operative Commonwealth Federation (C.C.F.),67,oil,0
1926,Labour,824,oil,8
1921,Unionist (Liberal),1621,oil,11
1916,Conservative (1867-1942),9710,oil,102
1966,Independent,473,oil,5
1913,Independent Conservative,111,oil,0
1904,Independent Liberal,1,oil,0
1926,Liberal Progressive,2,oil,0
1926,Independent,344,oil,12
1923,Progressive,4510,oil,114
1966,Co-operative Commonwealth Federation (C.C.F.),435,oil,10
1941,Progressive Conservative,100,oil,1
1970,New Democratic Party,7170,oil,237
1973,Social Credit,2516,oil,117
1999,Liberal,10520,oil,96
1996,Reform,5046,oil,88
1943,Co-operative Commonwealth Federation (C.C.F.),3416,oil,70
1930,Progressive,416,oil,2
1934,Progressive,101,oil,1
1927,United Farmers of Alberta,1562,oil,26
1986,New Democratic Party,9596,oil,379
1933,Progressive,63,oil,3
1957,Independent Progressive Conservative,122,oil,0
1938,Liberal,15788,oil,160
1926,Conservative (1867-1942),14282,oil,159
1916,Labour,37,oil,0
1948,Progressive Conservative,11748,oil,124
1922,United Farmers of Alberta,54,oil,0
1918,Progressive,14,oil,0
1967,Independent Liberal,2,oil,0
1910,Independent,37,oil,2
1910,Labour,30,oil,0
1986,Independent,5,oil,0
1945,Conservative (1867-1942),4,oil,0
2000,Independent,25,oil,0
1901,Liberal-Conservative,711,oil,7
2016,Bloc Québécois,344,oil,19
1904,Independent Conservative,352,oil,2
1946,Co-operative Commonwealth Federation (C.C.F.),5318,oil,82
1999,Progressive Conservative,1776,oil,46
1970,Independent,4974,oil,0
1945,Co-operative Commonwealth Federation (C.C.F.),3168,oil,45
1941,Liberal,11706,oil,156
1935,Liberal Progressive,124,oil,0
1935,Independent,394,oil,7
1949,Independent Liberal,148,oil,6
1990,Independent,333,oil,4
1935,Labour,1070,oil,6
1962,New Democratic Party,4146,oil,69
1947,Independent C.C.F.,141,oil,7
1964,Liberal Labour,112,oil,2
1933,Independent,546,oil,13
1973,New Democratic Party,7691,oil,572
1933,Liberal Progressive,140,oil,0
1937,Independent Conservative,3,oil,0
1953,Liberal,13664,oil,173
1931,Conservative (1867-1942),13875,oil,109
1933,Labour,754,oil,8
1954,Liberal,13918,oil,133
2008,Independent,183,oil,18
1998,Progressive Conservative,1815,oil,38
1968,Progressive Conservative,8721,oil,112
1965,Progressive Conservative,7243,oil,56
1960,Co-operative Commonwealth Federation (C.C.F.),6687,oil,82
1958,Independent Liberal,57,oil,0
1952,Co-operative Commonwealth Federation (C.C.F.),3068,oil,57
1909,Labour,24,oil,2
1973,No affiliation,6328,oil,11
1923,Independent,7,oil,0
1925,Independent Conservative,239,oil,3
1910,Nationalist,2,oil,1
1909,Independent,11,oil,0
1942,Liberal,15285,oil,347
1923,Labour,824,oil,7
1902,Liberal,1974,oil,79
1956,Co-operative Commonwealth Federation (C.C.F.),6774,oil,159
1971,Progressive Conservative,17889,oil,428
1934,Labour,722,oil,15
1930,Labour,673,oil,3
1934,Independent,558,oil,7
1911,Conservative (1867-1942),9664,oil,104
1934,Liberal Progressive,66,oil,1
1974,Liberal,12348,oil,454
1930,Independent,231,oil,3
1930,Liberal Progressive,264,oil,1
1947,Independent Liberal,534,oil,14
1942,Progressive Conservative,279,oil,7
1955,Co-operative Commonwealth Federation (C.C.F.),5118,oil,109
1949,Independent C.C.F.,29,oil,2
1936,Independent Conservative,6,oil,0
1966,Ralliement Créditiste,2345,oil,33
1908,Conservative (1867-1942),15745,oil,87
1988,Independent Liberal,20,oil,0
1961,New Party,157,oil,1
1974,Progressive Conservative,9750,oil,590
1935,Progressive,119,oil,4
1971,Liberal,22726,oil,391
1980,New Democratic Party,4122,oil,322
1954,Progressive Conservative,8571,oil,103
1905,Conservative (1867-1942),14349,oil,113
1973,Independent,139,oil,8
1901,Independent Conservative,523,oil,5
1953,Progressive Conservative,9510,oil,162
1904,Liberal-Conservative,2213,oil,14
1950,Co-operative Commonwealth Federation (C.C.F.),3436,oil,83
1932,Conservative (1867-1942),13435,oil,138
1925,Independent Progressive,380,oil,3
1962,Social Credit,1261,oil,20
1998,Liberal,10802,oil,109
1968,Liberal,12278,oil,95
1965,Liberal,11900,oil,55
1979,Independent,53,oil,2
1943,Social Credit,1873,oil,61
1950,Liberal Progressive,32,oil,0
1950,Independent,129,oil,3
1908,Independent,28,oil,0
1959,Progressive Conservative,18143,oil,254
1908,Labour,3,oil,0
1990,Bloc Québécois,21,oil,0
1966,Social Credit,1086,oil,25
1944,National Government,11551,oil,135
1977,Liberal,22893,oil,362
1924,United Farmers of Alberta,106,oil,3
1996,Progressive Conservative,99,oil,0
1903,Liberal,8821,oil,148
1905,Independent,33,oil,0
1963,Liberal,16424,oil,143
2000,Bloc Québécois,3523,oil,84
1958,Independent Progressive Conservative,86,oil,0
1955,Independent,100,oil,2
2016,Independent,12,oil,0
1955,Liberal Progressive,92,oil,2
1932,Labour,705,oil,9
1985,New Democratic Party,9650,oil,447
1949,Bloc populaire canadien,30,oil,0
1932,Independent,421,oil,12
1932,Liberal Progressive,302,oil,6
1956,Liberal Progressive,101,oil,1
1931,Independent,674,oil,14
1996,Liberal,9950,oil,103
1956,Independent,99,oil,4
1931,Liberal Progressive,361,oil,4
1913,Liberal-Conservative,217,oil,0
1933,Conservative (1867-1942),12726,oil,83
1931,Labour,613,oil,11
1930,United Farmers of Ontario,4,oil,0
1923,United Farmers of Ontario,24,oil,0
1918,Conservative (1867-1942),510,oil,6
1970,Ralliement Créditiste,1327,oil,48
1963,Progressive Conservative,11608,oil,149
2016,New Democratic Party,3653,oil,85
1926,Progressive,2309,oil,35
1936,Independent Liberal,2,oil,1
1909,Conservative (1867-1942),14876,oil,119
1959,Liberal,13032,oil,213
1947,Independent Progressive Conservative,70,oil,0
1979,New Democratic Party,2641,oil,282
1952,Liberal Progressive,41,oil,1
1923,Conservative (1867-1942),10878,oil,101
1952,Independent,155,oil,6
1934,Conservative (1867-1942),14222,oil,95
1911,Independent,32,oil,0
1946,Social Credit,1731,oil,37
1930,Conservative (1867-1942),8267,oil,64
1911,Labour,56,oil,0
1945,Social Credit,1469,oil,26
1963,Independent Liberal,8,oil,0
1933,Independent Labour,61,oil,2
1993,Independent,27,oil,1
1995,Bloc Québécois,4567,oil,75
1969,Progressive Conservative,12352,oil,268
1939,Co-operative Commonwealth Federation (C.C.F.),3001,oil,29
1903,Independent Liberal,5,oil,0
1924,United Farmers of Ontario,27,oil,0
1919,Unionist,16918,oil,167
1937,Liberal,9853,oil,106
1948,Bloc populaire canadien,49,oil,0
1939,Conservative (1867-1942),8881,oil,116
1929,Liberal,11600,oil,50
1928,Liberal,12804,oil,100
1924,Conservative (1867-1942),13144,oil,82
2004,Progressive Conservative,620,oil,15
1902,Independent Conservative,136,oil,1
1934,Independent Labour,117,oil,3
1925,Liberal,15812,oil,104
1978,Liberal,19108,oil,283
2010,Independent,34,oil,0
1997,Progressive Conservative,834,oil,17
1921,Independent,30,oil,1
1933,United Farmers of Alberta,1007,oil,15
1921,Nationalist Liberal,580,oil,2
1915,Labour,50,oil,2
1927,Progressive,378,oil,6
1936,Liberal,14636,oil,142
1959,Independent Liberal,1,oil,0
1922,Progressive,3291,oil,66
1944,Unity,48,oil,3
1968,Independent Progressive Conservative,28,oil,0
1912,Labour,12,oil,1
1993,New Democratic Party,2879,oil,87
2015,Liberal,3800,oil,148
1923,United Farmers of Alberta,127,oil,6
1944,Liberal Progressive,74,oil,2
1901,Liberal,2936,oil,58
1944,Independent,491,oil,8
1934,United Farmers of Alberta,944,oil,11
1930,United Farmers of Alberta,991,oil,18
1964,New Democratic Party,6828,oil,60
1969,Liberal,17565,oil,242
1944,Co-operative Commonwealth Federation (C.C.F.),4287,oil,83
1921,Conservative (1867-1942),1493,oil,24
1992,New Democratic Party,4028,oil,94
1988,Progressive Conservative,22640,oil,291
1931,United Farmers of Alberta,915,oil,13
1915,Conservative (1867-1942),8358,oil,91
1950,Liberal Labour,30,oil,1
1947,Progressive Conservative,12856,oil,133
1942,Independent Liberal,195,oil,7
1961,Progressive Conservative,24351,oil,331
1920,Liberal,1795,oil,9
1912,Conservative (1867-1942),5107,oil,30
1955,Liberal Labour,295,oil,0
1958,Liberal,11325,oil,131
1991,New Democratic Party,4222,oil,143
1903,Independent Conservative,472,oil,1
2015,Forces et Démocratie,44,oil,5
1953,Independent Liberal,4,oil,0
1984,Liberal,14879,oil,208
1921,United Farmers of Ontario,11,oil,0
2003,New Democratic Party,1867,oil,46
1921,United Farmers,118,oil,3
1932,Independent Labour,58,oil,5
1931,Independent Labour,64,oil,2
1991,Independent,72,oil,4
1920,Laurier Liberal,8214,oil,75
1958,Progressive Conservative,16275,oil,229
2014,Forces et Démocratie,19,oil,5
1965,Independent Liberal,10,oil,0
1961,Liberal,15473,oil,129
2003,Independent,25,oil,0
1956,Liberal Labour,214,oil,1
1948,Independent C.C.F.,120,oil,4
1984,Progressive Conservative,13973,oil,305
2015,Conservative,10534,oil,340
1964,Co-operative Commonwealth Federation (C.C.F.),301,oil,4
1924,Labour,921,oil,7
1971,Independent Liberal,21,oil,0
1939,Liberal Progressive,127,oil,2
1939,Independent,335,oil,8
1924,Independent,28,oil,1
1947,Liberal,18365,oil,146
1972,Social Credit,884,oil,22
2004,Conservative,2767,oil,114
1932,United Farmers of Alberta,1449,oil,24
1942,New Democracy,9,oil,0
1914,Liberal-Conservative,63,oil,0
1960,Liberal Labour,1068,oil,9
1952,Liberal Labour,79,oil,1
1941,Unity,44,oil,3
1910,Liberal,13998,oil,157
1975,New Democratic Party,5207,oil,387
1912,Liberal-Conservative,478,oil,5
1904,Independent Labour,70,oil,0
1986,Liberal,11471,oil,390
1942,Social Credit,1523,oil,43
2000,Liberal,7727,oil,130
1974,Social Credit,863,oil,67
1948,Independent,128,oil,5
1940,Co-operative Commonwealth Federation (C.C.F.),1301,oil,24
1948,Liberal Progressive,2,oil,0
1999,New Democratic Party,2348,oil,60
1922,Independent Conservative,191,oil,3
1953,Social Credit,1278,oil,68
1940,Conservative (1867-1942),771,oil,24
1941,Independent,138,oil,6
1970,Liberal,18523,oil,405
1954,Social Credit,1214,oil,36
1941,Liberal Progressive,30,oil,0
1935,Liberal,10270,oil,63
1918,Unionist,6146,oil,70
1990,Liberal,9528,oil,250
1962,Progressive Conservative,18494,oil,165
1970,Progressive Conservative,13420,oil,367
1963,Ralliement Créditiste,1529,oil,22
1999,Independent,83,oil,0
1944,Bloc populaire canadien,80,oil,2
1990,Progressive Conservative,17726,oil,291
1962,Liberal,12310,oil,108
2013,Green,466,oil,18
1968,Social Credit,165,oil,4
1965,Social Credit,770,oil,4
1935,Progressive Conservative,27,oil,1
1920,Unionist (Liberal),1324,oil,7
1914,Conservative (1867-1942),14090,oil,109
1972,Independent Liberal,57,oil,1
1951,Liberal Labour,121,oil,1
1957,Liberal Labour,493,oil,3
1986,Progressive Conservative,24649,oil,445
1996,Bloc Québécois,4530,oil,101
1975,Independent,152,oil,5
2000,Progressive Conservative,1437,oil,37
1938,Liberal Progressive,171,oil,2
1938,Independent,663,oil,9
1922,Independent Progressive,135,oil,2
1971,Social Credit,1249,oil,39
1917,Independent Conservative,129,oil,2
1916,Liberal,11711,oil,144
1968,Ralliement Créditiste,1153,oil,36
1965,Ralliement Créditiste,1562,oil,7
1938,Co-operative Commonwealth Federation (C.C.F.),1911,oil,30
1983,Independent,67,oil,3
1963,Social Credit,2010,oil,25
1987,Liberal,11673,oil,225
1949,Liberal Labour,9,oil,2
1927,Independent Liberal,7,oil,0
1914,Labour,77,oil,0
1994,New Democratic Party,716,oil,18
1971,Ralliement Créditiste,463,oil,28
1943,Liberal,15502,oil,284
2013,Independent,199,oil,17
1966,Liberal,26773,oil,148
1945,Progressive Conservative,6780,oil,114
1926,Liberal,12441,oil,89
1938,Conservative (1867-1942),10578,oil,97
1940,Unity,16,oil,0
1943,Progressive Conservative,1577,oil,52
1946,Liberal,15241,oil,143
1998,Bloc Québécois,3133,oil,44
1966,Progressive Conservative,16402,oil,191
1945,Liberal,10806,oil,121
1941,Co-operative Commonwealth Federation (C.C.F.),1823,oil,34
1983,New Democratic Party,6752,oil,197
2011,Bloc Québécois,1206,oil,54
1944,Labour Progressive,79,oil,7
1941,Conservative (1867-1942),710,oil,23
1940,Liberal Progressive,24,oil,2
1948,Co-operative Commonwealth Federation (C.C.F.),5937,oil,94
1940,Independent,162,oil,1
1994,Independent,14,oil,0
1987,Progressive Conservative,25550,oil,410
1966,Independent Liberal,11,oil,0
1904,Independent,76,oil,3
1989,Reform,40,oil,0
1945,New Democracy,2,oil,0
1940,National Government,5509,oil,69
1943,Independent Liberal,134,oil,8
1910,Independent Conservative,116,oil,3
1990,Independent Conservative,22,oil,2
1927,Liberal,7254,oil,46
2012,Independent,158,oil,21
1919,Independent,19,oil,1
1967,Co-operative Commonwealth Federation (C.C.F.),253,oil,16
1937,Social Credit,550,oil,21
1936,United Farmers of Ontario-Labour,89,oil,1
1922,Liberal,7650,oil,78
1909,Liberal-Conservative,732,oil,13
1929,Progressive,682,oil,12
1928,Progressive,626,oil,11
2005,Independent,68,oil,0
1991,Reform,32,oil,4
1949,Conservative (1867-1942),1,oil,0
1981,New Democratic Party,4784,oil,334
1925,Progressive,8480,oil,77
2012,New Democratic Party,13926,oil,484
2004,Canadian Alliance,2722,oil,59
1978,Social Credit,809,oil,32
1916,Independent Conservative,166,oil,1
1946,Independent Liberal,580,oil,8
1921,Unionist,10585,oil,133
1917,Liberal,18984,oil,131
1913,Conservative (1867-1942),6505,oil,28
1982,Progressive Conservative,15257,oil,827
1992,Reform,25,oil,0
1945,Independent Liberal,338,oil,5
1951,Independent,368,oil,12
1937,United Farmers of Ontario-Labour,51,oil,0
1936,Social Credit,839,oil,20
1951,Liberal Progressive,68,oil,1
1957,Liberal Progressive,55,oil,0
1949,Co-operative Commonwealth Federation (C.C.F.),5007,oil,98
1957,Independent,137,oil,4
